,Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume
410,1583995800000,2020-03-12 06:50:00,ETHUSD,173.52,173.52,172.59,172.59,401.91406
411,1583995860000,2020-03-12 06:51:00,ETHUSD,172.59,172.62,172.38,172.38,404.540604
412,1583995920000,2020-03-12 06:52:00,ETHUSD,172.38,173.06,172.38,172.92,220.151137
413,1583995980000,2020-03-12 06:53:00,ETHUSD,172.92,173.03,172.5,173.03,54.301941
414,1583996040000,2020-03-12 06:54:00,ETHUSD,173.03,173.03,172.94,172.94,5.667031
415,1583996100000,2020-03-12 06:55:00,ETHUSD,172.94,172.94,172.79,172.79,1.134458
416,1583996160000,2020-03-12 06:56:00,ETHUSD,172.79,172.79,172.76,172.77,93.3077
417,1583996220000,2020-03-12 06:57:00,ETHUSD,172.77,173.14,172.77,173.14,0.20272
418,1583996280000,2020-03-12 06:58:00,ETHUSD,173.14,173.21,173.14,173.21,15.64372
419,1583996340000,2020-03-12 06:59:00,ETHUSD,173.21,173.64,173.21,173.64,0.134689
420,1583996400000,2020-03-12 07:00:00,ETHUSD,173.64,173.64,173.12,173.13,183.806262
421,1583996460000,2020-03-12 07:01:00,ETHUSD,173.13,173.13,173.13,173.13,0.0
422,1583996520000,2020-03-12 07:02:00,ETHUSD,173.13,173.13,173.13,173.13,0.0
423,1583996580000,2020-03-12 07:03:00,ETHUSD,173.13,173.13,172.8,172.8,0.004851
424,1583996640000,2020-03-12 07:04:00,ETHUSD,172.8,173.17,172.5,172.5,5.005717
425,1583996700000,2020-03-12 07:05:00,ETHUSD,172.5,172.53,172.2,172.2,4.0267
426,1583996760000,2020-03-12 07:06:00,ETHUSD,172.2,172.2,170.24,171.53,276.562204
427,1583996820000,2020-03-12 07:07:00,ETHUSD,171.53,171.53,170.14,170.79,46.784725
428,1583996880000,2020-03-12 07:08:00,ETHUSD,170.79,171.93,170.79,171.93,75.762493
429,1583996940000,2020-03-12 07:09:00,ETHUSD,171.93,172.0,171.52,171.52,200.0
430,1583997000000,2020-03-12 07:10:00,ETHUSD,171.52,171.52,170.9,170.9,50.0
431,1583997060000,2020-03-12 07:11:00,ETHUSD,170.9,171.27,170.15,170.15,0.215348
432,1583997120000,2020-03-12 07:12:00,ETHUSD,170.15,170.34,169.79,170.34,219.541074
433,1583997180000,2020-03-12 07:13:00,ETHUSD,170.34,170.34,168.51,168.51,132.008146
434,1583997240000,2020-03-12 07:14:00,ETHUSD,168.51,169.59,167.25,169.59,196.44638
435,1583997300000,2020-03-12 07:15:00,ETHUSD,169.59,169.74,169.49,169.51,144.445498
436,1583997360000,2020-03-12 07:16:00,ETHUSD,169.51,169.51,169.51,169.51,0.000108
437,1583997420000,2020-03-12 07:17:00,ETHUSD,169.51,170.6,169.3,170.6,145.81297
438,1583997480000,2020-03-12 07:18:00,ETHUSD,170.6,171.4,170.44,170.44,4666.669297
439,1583997540000,2020-03-12 07:19:00,ETHUSD,170.44,170.44,169.64,169.84,240.601835
440,1583997600000,2020-03-12 07:20:00,ETHUSD,169.84,170.34,169.84,170.32,101.876317
441,1583997660000,2020-03-12 07:21:00,ETHUSD,170.32,170.71,170.32,170.69,425.242353
442,1583997720000,2020-03-12 07:22:00,ETHUSD,170.69,171.1,170.68,171.1,109.695897
443,1583997780000,2020-03-12 07:23:00,ETHUSD,171.1,171.1,171.1,171.1,0.0
444,1583997840000,2020-03-12 07:24:00,ETHUSD,171.1,171.1,171.1,171.1,0.0
445,1583997900000,2020-03-12 07:25:00,ETHUSD,171.1,171.27,171.04,171.04,125.68971
446,1583997960000,2020-03-12 07:26:00,ETHUSD,171.04,171.12,170.7,170.7,157.0181404
447,1583998020000,2020-03-12 07:27:00,ETHUSD,170.7,170.73,170.7,170.73,32.0577
448,1583998080000,2020-03-12 07:28:00,ETHUSD,170.73,170.73,170.73,170.73,0.0
449,1583998140000,2020-03-12 07:29:00,ETHUSD,170.73,171.49,170.73,171.03,80.8979
450,1583998200000,2020-03-12 07:30:00,ETHUSD,171.03,171.12,171.03,171.12,24.11
451,1583998260000,2020-03-12 07:31:00,ETHUSD,171.12,172.13,171.12,172.13,50.21205
452,1583998320000,2020-03-12 07:32:00,ETHUSD,172.13,172.43,172.13,172.43,0.577091
453,1583998380000,2020-03-12 07:33:00,ETHUSD,172.43,172.43,172.43,172.43,0.0
454,1583998440000,2020-03-12 07:34:00,ETHUSD,172.43,173.4,172.36,173.4,32.375496
455,1583998500000,2020-03-12 07:35:00,ETHUSD,173.4,173.4,173.03,173.37,20.02884
456,1583998560000,2020-03-12 07:36:00,ETHUSD,173.37,173.73,173.37,173.73,2.86799115
457,1583998620000,2020-03-12 07:37:00,ETHUSD,173.73,173.73,172.81,172.81,57.8
458,1583998680000,2020-03-12 07:38:00,ETHUSD,172.81,172.83,172.64,172.64,83.5
459,1583998740000,2020-03-12 07:39:00,ETHUSD,172.64,172.64,171.74,172.25,71.5019
460,1583998800000,2020-03-12 07:40:00,ETHUSD,172.25,172.8,172.12,172.8,47.4499
461,1583998860000,2020-03-12 07:41:00,ETHUSD,172.8,172.8,172.02,172.19,10.219983
462,1583998920000,2020-03-12 07:42:00,ETHUSD,172.19,172.19,171.72,172.1,23.8114
463,1583998980000,2020-03-12 07:43:00,ETHUSD,172.1,172.1,172.1,172.1,0.0
464,1583999040000,2020-03-12 07:44:00,ETHUSD,172.1,172.1,170.71,170.99,13.961284
465,1583999100000,2020-03-12 07:45:00,ETHUSD,170.99,171.42,170.88,170.95,64.061866
466,1583999160000,2020-03-12 07:46:00,ETHUSD,170.95,171.07,170.7,171.06,23.664816
467,1583999220000,2020-03-12 07:47:00,ETHUSD,171.06,171.06,171.06,171.06,0.0
468,1583999280000,2020-03-12 07:48:00,ETHUSD,171.06,171.28,170.76,170.85,70.628395
469,1583999340000,2020-03-12 07:49:00,ETHUSD,170.85,170.85,170.38,170.5,32.380052
470,1583999400000,2020-03-12 07:50:00,ETHUSD,170.5,171.5,170.48,171.2,154.968223
471,1583999460000,2020-03-12 07:51:00,ETHUSD,171.2,171.76,171.2,171.76,0.09337
472,1583999520000,2020-03-12 07:52:00,ETHUSD,171.76,171.76,171.68,171.68,2.0
473,1583999580000,2020-03-12 07:53:00,ETHUSD,171.68,171.68,171.68,171.68,0.0
474,1583999640000,2020-03-12 07:54:00,ETHUSD,171.68,172.43,171.68,172.28,20.233446
475,1583999700000,2020-03-12 07:55:00,ETHUSD,172.28,172.28,171.75,171.89,12.14126
476,1583999760000,2020-03-12 07:56:00,ETHUSD,171.89,172.01,171.7,171.7,37.81420082
477,1583999820000,2020-03-12 07:57:00,ETHUSD,171.7,171.7,171.7,171.7,0.0
478,1583999880000,2020-03-12 07:58:00,ETHUSD,171.7,171.75,171.47,171.47,7.217172
479,1583999940000,2020-03-12 07:59:00,ETHUSD,171.47,171.47,171.4,171.4,0.5
480,1584000000000,2020-03-12 08:00:00,ETHUSD,171.4,171.4,171.04,171.39,32.6258
481,1584000060000,2020-03-12 08:01:00,ETHUSD,171.39,171.39,170.89,170.89,15.19164
482,1584000120000,2020-03-12 08:02:00,ETHUSD,170.89,171.16,170.59,171.16,105.217405
483,1584000180000,2020-03-12 08:03:00,ETHUSD,171.16,171.16,171.16,171.16,0.0
484,1584000240000,2020-03-12 08:04:00,ETHUSD,171.16,171.16,170.69,170.69,275.01456
485,1584000300000,2020-03-12 08:05:00,ETHUSD,170.69,170.89,170.69,170.89,0.023347
486,1584000360000,2020-03-12 08:06:00,ETHUSD,170.89,170.89,170.89,170.89,0.0
487,1584000420000,2020-03-12 08:07:00,ETHUSD,170.89,170.89,170.26,170.26,0.067087
488,1584000480000,2020-03-12 08:08:00,ETHUSD,170.26,170.26,170.26,170.26,0.0
489,1584000540000,2020-03-12 08:09:00,ETHUSD,170.26,170.26,168.77,169.4,73.925223
490,1584000600000,2020-03-12 08:10:00,ETHUSD,169.4,169.66,169.17,169.66,28.477298
491,1584000660000,2020-03-12 08:11:00,ETHUSD,169.66,170.26,169.37,169.37,203.808481
492,1584000720000,2020-03-12 08:12:00,ETHUSD,169.37,169.68,169.3,169.3,189.97312396
